 n. ;Adquisición;CO2 ( ppm );CO ( ppm );RH ( % );T1 ( C );Patm ( hPa );Va ( m/s );T2 ( C );FVa ( L/s );DP ( C );AH ( g/m3 );MR ( g/kg );Tw ( C );H ( kJ/kg )
225;2021/02/15 16:37:10;828;0;53.9;19.2;740;ERR.;ERR.;ERR.;9.7;8.9;7.5;13.7;38.2
226;2021/02/15 16:37:25;826;0;53.9;19.2;740;ERR.;ERR.;ERR.;9.7;8.9;7.5;13.7;38.2
227;2021/02/15 16:37:40;818;0;53.8;19.2;740;ERR.;ERR.;ERR.;9.7;8.9;7.4;13.7;38.2
228;2021/02/15 16:37:55;809;0;53.9;19.2;740;ERR.;ERR.;ERR.;9.7;8.9;7.5;13.7;38.2
229;2021/02/15 16:38:10;803;0;53.9;19.2;740;ERR.;ERR.;ERR.;9.7;8.9;7.5;13.7;38.2
230;2021/02/15 16:38:25;792;0;53.9;19.2;740;ERR.;ERR.;ERR.;9.7;8.9;7.5;13.7;38.2
231;2021/02/15 16:38:40;789;0;53.9;19.2;740;ERR.;ERR.;ERR.;9.7;8.9;7.5;13.7;38.2
232;2021/02/15 16:38:55;783;0;53.9;19.2;740;ERR.;ERR.;ERR.;9.7;8.9;7.5;13.7;38.2
233;2021/02/15 16:39:10;777;0;53.9;19.2;740;ERR.;ERR.;ERR.;9.7;8.9;7.5;13.7;38.2
234;2021/02/15 16:39:25;776;0;53.9;19.2;740;ERR.;ERR.;ERR.;9.7;8.9;7.5;13.7;38.2
235;2021/02/15 16:39:40;770;0;53.9;19.2;740;ERR.;ERR.;ERR.;9.7;8.9;7.5;13.7;38.2
236;2021/02/15 16:39:55;770;0;53.8;19.2;740;ERR.;ERR.;ERR.;9.7;8.9;7.4;13.7;38.2
237;2021/02/15 16:40:10;770;0;53.8;19.2;740;ERR.;ERR.;ERR.;9.7;8.9;7.4;13.7;38.2
